Date,Value,Velocity
2021-03-09,21.17,1.76
2021-03-21,21.17,1.76
2021-04-02,-26.51,-2.21
2021-04-14,11.53,0.96
2021-04-26,50.32,4.19
2021-05-08,8.71,0.73
2021-05-20,-17.37,-1.45
2021-06-01,-10.61,-0.88
2021-06-13,8.88,0.74
2021-06-25,11.06,0.92
2021-07-07,-6.03,-0.5
2021-07-19,-14.98,-1.25
2021-07-31,-7.65,-0.64
2021-08-12,2.17,0.18
2021-08-24,-8.51,-0.71
2021-09-05,-6.57,-0.55
2021-09-17,12.1,1.01
2021-09-29,-2.36,-0.2
2021-10-11,7.94,0.66
2021-10-23,28.57,2.38
2021-11-04,10.58,0.88
2021-11-16,-21.54,-1.8
2021-11-28,-9.37,-0.78
2021-12-10,28.01,2.33
2025-04-17,17.96,1.5
2025-04-29,40.11,3.34
2025-05-23,24.48,1.02
